1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
    38	 0.28882	 0.12257	 0.30185	 0.24269	 0.51435	 0.51327	 0.41876	 0.12145	 0.05525	 0.09585	 0.04009	 0.09603	 0.06921	 0.05217	 0.13340	 0.03066	 0.22179	 0.07361	 0.11281	 0.07802	 0.08517	 0.03109	 0.02602	 0.07565	 0.38476	 0.07898	 0.07917	 0.08511	 0.42414	 0.18910	 0.29385	 0.09648	 0.88578	 0.50980	 0.21758	 0.71869	NULL
    39	 0.30502	 0.12943	 0.28445	 0.26746	 0.54002	 0.55800	 0.41590	 0.14514	 0.05525	 0.09585	 0.04009	 0.09603	 0.06568	 0.05129	 0.12904	 0.02974	 0.21164	 0.07124	 0.10135	 0.07568	 0.07015	 0.03254	 0.01841	 0.06771	 0.35100	 0.07435	 0.07917	 0.08511	 0.42414	 0.18910	 0.31205	 0.08985	 0.95251	 0.54495	 0.21758	 0.71869	NULL
    40	 0.29274	 0.14700	 0.28445	 0.26746	 0.54857	 0.57297	 0.43426	 0.13865	 0.03678	 0.10279	 0.04009	 0.09603	 0.06568	 0.05129	 0.12760	 0.02942	 0.20663	 0.06905	 0.09702	 0.07509	 0.06768	 0.02943	 0.01841	 0.06771	 0.33436	 0.08060	 0.13338	 0.00832	 0.42414	 0.18910	 0.29707	 0.11108	 0.98843	 0.56434	 0.21758	 0.71869	NULL
    41	 0.33749	 0.14316	 0.27850	 0.30686	 0.58282	 0.63302	 0.41304	 0.16886	 0.04207	 0.09523	 0.01118	 0.10688	 0.06390	 0.05085	 0.12614	 0.02912	 0.19890	 0.06515	 0.09001	 0.07490	 0.06331	 0.02901	 0.02333	 0.06064	 0.33436	 0.08060	 0.13338	 0.00832	 0.45457	 0.17768	 0.31850	 0.11907	 1.06046	 0.60313	 0.21758	 0.71869	NULL
    42	 0.35374	 0.15004	 0.30742	 0.29663	 0.61731	 0.63836	 0.43141	 0.16236	 0.04207	 0.09523	 0.01989	 0.09432	 0.06285	 0.05235	 0.12614	 0.02912	 0.19617	 0.06346	 0.08831	 0.07391	 0.06522	 0.02631	 0.02333	 0.06064	 0.31771	 0.08685	 0.13338	 0.00832	 0.45457	 0.17768	 0.30349	 0.14034	 1.09483	 0.61948	 0.21758	 0.71869	NULL
    43	 0.35769	 0.17454	 0.33041	 0.32588	 0.64308	 0.68368	 0.43141	 0.16236	 0.04207	 0.09523	 0.01989	 0.09432	 0.05723	 0.05446	 0.12693	 0.02798	 0.19181	 0.06035	 0.08231	 0.07231	 0.06275	 0.02320	 0.02333	 0.06064	 0.30110	 0.09308	 0.07917	 0.08511	 0.43389	 0.20749	 0.32173	 0.13370	 1.14790	 0.65282	 0.21758	 0.71869	NULL
    44	 0.38630	 0.16380	 0.33041	 0.32588	 0.66910	 0.67391	 0.44979	 0.15586	 0.04735	 0.08767	 0.01989	 0.09432	 0.05545	 0.05403	 0.12322	 0.02852	 0.18844	 0.05956	 0.07848	 0.07099	 0.05838	 0.02279	 0.02333	 0.06064	 0.28447	 0.09933	 0.07917	 0.08511	 0.40346	 0.21891	 0.32173	 0.13370	 1.17376	 0.66507	 0.21758	 0.71869	NULL
    45	 0.40260	 0.17069	 0.34191	 0.34054	 0.68633	 0.70422	 0.47102	 0.12564	 0.04735	 0.08767	-0.00030	 0.09262	 0.04839	 0.05226	 0.11367	 0.02784	 0.17657	 0.05784	 0.06585	 0.06696	 0.04527	 0.02154	 0.00588	 0.06684	 0.26748	 0.08842	 0.02475	 0.16222	 0.40346	 0.21891	 0.30669	 0.15500	 1.21847	 0.68864	 0.41685	 0.64026	NULL
    46	 0.40260	 0.17069	 0.34191	 0.34054	 0.66886	 0.72920	 0.47102	 0.12564	 0.02888	 0.09461	-0.00030	 0.09262	 0.04203	 0.05244	 0.10481	 0.02861	 0.16872	 0.05602	 0.05819	 0.06434	 0.03844	 0.01802	-0.01156	 0.07303	 0.25051	 0.07752	-0.02222	 0.17932	 0.37306	 0.23033	 0.30669	 0.15500	 1.23906	 0.70301	 0.41685	 0.64026	NULL
    47	 0.39025	 0.18834	 0.32438	 0.36549	 0.68605	 0.75968	 0.45263	 0.13215	 0.02888	 0.09461	-0.02045	 0.09090	 0.02965	 0.04938	 0.08724	 0.02754	 0.14560	 0.05171	 0.03742	 0.05841	 0.01662	 0.01595	-0.02408	 0.07217	 0.20047	 0.07906	-0.01468	 0.11928	 0.36335	 0.21192	 0.30669	 0.15500	 1.28897	 0.73025	 0.41685	 0.64026	NULL
